"Countries" "Y1970" "Y1971" "Y1972" "Y1973" "Y1974" "Y1975" "Y1976" "Y1977" "Y1978" "Y1979" "Y1980" "Y1981" "Y1982" "Y1983" "Y1984" "Y1985" "Y1986" "Y1987" "Y1988" "Y1989" "Y1990" "Y1991" "Y1992" "Y1993" "Y1994" "Y1995" "Y1996" "Y1997" "Y1998" "Y1999" "Y2000" "Y2001" "Y2002" "Y2003"
"18" "Brunei" 10.4350498921875 10.4552043115091 10.4751203288969 10.4942914317629 10.5119979491892 10.5273874711026 10.5395269189053 10.5472998006845 10.5497405204038 10.5462006770347 10.5364298977248 10.5210035147867 10.5010571030991 10.4776532125714 10.4517786080631 10.4243777341892 10.3963505409572 10.3685003674814 10.3414519397848 10.3156877232978 10.2915628036502 10.2692659956828 10.248872042797 10.2304228498659 10.2138782523908 10.1991035102786 10.1858862154976 10.1739543431386 10.1630575775968 10.1530068695456 10.14369085483 10.1349293328029 10.1265106208604 10.1182338481128
"19" "Burkina.Faso" 6.51385344839246 6.52349916327715 6.53320643787973 6.54299386970558 6.55297298706445 6.56324604945249 6.57391426663033 6.58502568588981 6.59654879936974 6.60846286394709 6.62064501742815 6.63288843621848 6.64497977167369 6.6568163337389 6.66840953390364 6.67973566106454 6.69062138098278 6.70086037128699 6.71026905829765 6.71881872582071 6.72667356724296 6.73414016658651 6.74151028609188 6.74915291308147 6.75746620699663 6.76678343800358 6.77742058050242 6.78956532372453 6.80323582594136 6.8183212117313 6.8345286918313 6.85155370950519 6.86910195651558 6.88687915129955
"20" "Burundi" 6.67028791394986 6.68440539329135 6.69857715354167 6.71287579170634 6.72728286641543 6.74178835263583 6.75625763717211 6.77041551047859 6.78396646243646 6.79675533326698 6.80871177526456 6.81981092559072 6.82999742432815 6.83926292781836 6.84754550153988 6.85463845540533 6.86010156876776 6.86343026688293 6.86407556486653 6.86144356070761 6.85517811388232 6.84497740335378 6.83083008748395 6.81312241910008 6.79267985754089 6.77036321726213 6.74690947147749 6.72299286261207 6.69902898535905 6.67520648730755 6.65161507998492 6.62844058423151 6.60561335111104 6.58292424694207
"21" "Cambodia" 6.913508802851 6.83438943686346 6.7554639540416 6.67715823845724 6.60015859549603 6.52505178611156 6.45234846657449 6.38260069389226 6.31655069390545 6.25487895604311 6.19834428113987 6.1475698280138 6.10300131289966 6.06502505818592 6.0339551147145 6.01000521082974 5.99327986436421 5.98370655902954 5.98091667879724 5.98420425734038 5.99287587693123 6.0061913306975 6.0233335072756 6.04352867365818 6.06613763683792 6.09067093701794 6.1168479619795 6.1444037415051 6.17312515572911 6.20285880212593 6.23340859381985 6.264488714352 6.29583492889148 6.32727067953002
"22" "Cameroon" 7.5012460204906 7.53296755431047 7.56487347120279 7.59718261847626 7.63007166247008 7.66365358456896 7.69798099384355 7.73293581361521 7.76816848094877 7.80306833199335 7.83669045007794 7.86784136256093 7.8951642903864 7.91729428710972 7.93321690963573 7.94235885334131 7.94456979972193 7.94027089744095 7.93042735605404 7.91625454952975 7.89913649483424 7.88042126507685 7.86145770346886 7.84349114232302 7.8275640490387 7.81444663222903 7.80452494644765 7.79780673642208 7.79397170753984 7.79253604812267 7.79293991133533 7.79459567267824 7.79696503871129 7.79959966632585
"23" "Canada" 9.59803838626472 9.62219788899188 9.64625935637975 9.67006812745309 9.69343875737448 9.71622553257749 9.73830665718643 9.75955618725818 9.77988487824009 9.79925430914534 9.81768634080317 9.83527769721888 9.85217006276953 9.86854796014839 9.88448931957517 9.89998363794821 9.91501025723714 9.92958537535118 9.94375883401222 9.95765583750414 9.97151565914691 9.98569086789203 10.0005761632777 10.0164747082133 10.0335573804027 10.0518628262759 10.0713606281238 10.0919558393612 10.1134591761472 10.135635383862 10.1582270061513 10.1810201095446 10.2038975193664 10.2267939323388
"24" "Cape.Verde" 7.58062737083015 7.58210987210454 7.58376321846928 7.58591699975505 7.58913086987152 7.59399869351255 7.60124150541261 7.61140104762167 7.62487558867287 7.64190756452719 7.66254993184724 7.68665317216039 7.7138240176115 7.74352222488072 7.77505680781063 7.80780625682992 7.84126414516258 7.87517508713363 7.90949211623942 7.94427977905567 7.97978814814631 8.01639432882732 8.05442359757911 8.09412882068467 8.13561434496538 8.17890645267346 8.22379884697602 8.27003184074166 8.3172038116638 8.36490377456237 8.41277037763965 8.46055212064419 8.5082502242262 8.55591066717839
"25" "Central.African.Republic" 6.92808545294347 6.93191655515801 6.93597613792744 6.94038268815954 6.94503447330959 6.94965186700273 6.95381596497907 6.95698159834971 6.9585404261201 6.95797475899491 6.95513410072565 6.95009779210333 6.94299741576697 6.93400675906001 6.92336099833111 6.91113758928028 6.8974393429604 6.88241616121857 6.86632565287897 6.84946294091836 6.8322546616747 6.81532219865518 6.79948966749595 6.78575064840057 6.77477002711502 6.76685119681035 6.76201265199949 6.7601015829714 6.76067847836903 6.76311468044274 6.76666278981018 6.77074339439897 6.77498865754571 6.77925749270282
"26" "Chad" 6.86722327293929 6.84204760819539 6.81695115097374 6.79215330633081 6.76783695096129 6.74401497152379 6.72078763431925 6.6986451911579 6.67843110758527 6.66117623971489 6.64809171785506 6.63998361648457 6.63713124974632 6.63927549667624 6.64563593308475 6.65517081437036 6.66666696036307 6.67918656855178 6.69194257899134 6.70412105760991 6.71513045826158 6.72462260385413 6.73227572989949 6.73788919099571 6.74144286713239 6.74301212214428 6.7427096468278 6.74079425062832 6.73752902730428 6.73313191096622 6.72790872545621 6.72228608748628 6.71667291518998 6.71124141980845
"27" "Chile" 8.71685159152568 8.71028668463674 8.70374623743768 8.69747907720044 8.69193360001421 8.68761227212764 8.68508955255521 8.68461805739136 8.68615117161806 8.68952864015418 8.6946310351762 8.70154217036228 8.71062456600694 8.72259818047333 8.73811354149547 8.75759832290546 8.78130212255276 8.80924259900014 8.84122519609429 8.87686343922877 8.91562320297945 8.95692710103268 9.00009347744298 9.04437226596374 9.08907734741545 9.13360252498574 9.17741447262682 9.22014923751759 9.26165122202243 9.30198967125063 9.34139938803131 9.38015536708427 9.41853913767077 9.45679184467873
