"Countries" "Y1970" "Y1971" "Y1972" "Y1973" "Y1974" "Y1975" "Y1976" "Y1977" "Y1978" "Y1979" "Y1980" "Y1981" "Y1982" "Y1983" "Y1984" "Y1985" "Y1986" "Y1987" "Y1988" "Y1989" "Y1990" "Y1991" "Y1992" "Y1993" "Y1994" "Y1995" "Y1996" "Y1997" "Y1998" "Y1999" "Y2000" "Y2001" "Y2002" "Y2003"
"16" "Botswana" 1184.109 1358.3919 1552.9367 1683.8129 1876.0572 2167.7642 2235.1695 2451.0499 2573.367 2726.1194 2764.3221 2620.3205 3074.1105 3384.2159 3384.2105 3825.4823 3918.4893 4294.6417 4456.981 5222.064 5394.5318 5713.8279 5966.8165 5829.1546 5903.3613 5928.1596 6106.2016 6513.0942 6607.962 6319.1559 7256.4464 7788.2669 7726.1369 8053.5384
"17" "Brazil" 3975.7509 4250.0764 4603.8793 5068.852 5276.8621 5481.9014 5903.0929 5975.7999 6038.3862 6325.7147 6669.4149 6293.2907 6270.1835 5964.5565 6055.7735 6515.0069 6919.122 7214.9474 7078.8737 7336.6172 6834.026 6787.521 6665.4291 6773.7482 6976.5851 6895.11 6953.9595 7029.9986 6964.3004 7017.6953 7193.5974 7108.2088 6949.5584 7204.3957
"18" "Brunei" 30936.411 31193.345 32528.015 34241.573 35586.817 34683.597 40130.233 43225.151 44754.702 52917.149 47123.492 36018.7 35268.415 34916.861 33995.409 32394.158 30482.417 30079.409 29451.497 28259.343 28167.785 28456.463 27338.31 26704.64 26444.701 26245.682 26757.496 26861.81 26745.771 24971.046 25111.924 25317.573 25593.234 26239.194
"19" "Burkina.Faso" 691.23326 669.35481 713.64009 691.7927 701.03169 693.6594 693.7365 727.29457 703.24207 716.85838 748.4729 794.05432 804.8214 767.21517 741.41482 785.67279 812.17908 865.06389 886.63455 876.35826 829.43509 866.99239 856.77825 831.47165 854.52683 825.07094 820.2492 843.83067 837.54106 910.15437 933.20798 945.35865 987.55824 1073.2624
"20" "Burundi" 805.93273 805.71641 782.24016 825.70893 794.28918 800.75082 852.46948 922.00961 914.0555 911.37029 894.7219 933.19803 905.56683 881.26705 857.59613 924.17072 936.67607 939.60861 1052.7701 975.7158 1065.6816 1101.0452 1103.7985 922.66338 848.22282 850.02937 767.73942 759.16111 780.12531 823.57137 698.84374 715.26041 760.52976 763.7006
"21" "Cambodia" 1086.8752 1019.6246 953.01675 763.0629 713.16779 693.4035 684.3134 577.03685 571.2776 493.0557 458.22817 456.60208 434.45514 413.59865 399.52283 379.6279 355.96769 346.80631 397.79473 389.74341 388.43043 413.03927 435.78522 447.38609 468.56586 444.49008 462.93567 477.36943 471.56239 476.73795 513.90645 544.33207 561.5179 580.03307
"22" "Cameroon" 1948.8588 1894.5815 1896.9471 1942.4564 2010.0658 1988.9841 2008.9882 2055.9544 2068.2691 2216.4142 2371.7133 2603.4022 3088.2678 3273.9408 3302.4218 3536.6871 3505.8706 3103.6579 2974.6586 2702.3499 2695.7845 2537.7088 2393.0207 2286.0658 2151.461 2128.3934 2150.1851 2281.07 2353.2618 2395.6862 2471.7269 2516.3779 2618.083 2712.7124
"23" "Canada" 14169.177 14758.104 15274.588 16090.119 16366.729 16557.034 17205.535 17674.631 18105.981 18568.086 18688.628 19004.157 18206.484 18642.042 19544.073 20226.037 20505.897 21157.091 21793.923 22092.072 21771.736 20932.876 20903.295 21238.741 22157.509 22607.823 22779.715 23707.993 24454.719 25669.134 26820.734 26950.811 27513.101 27844.624
"24" "Cape.Verde" 2098.4734 2091.4393 2155.5234 1997.3994 2079.7415 1848.7807 1889.093 1898.9721 1899.0022 1921.6078 1929.5656 2054.6545 2108.0674 2371.5828 2492.6207 2719.5527 2764.5463 2751.1666 2932.7696 2966.3659 2861.3723 2943.7226 2966.1373 3174.4923 3110.6367 3489.6277 3522.8471 3890.4756 4175.783 4486.5728 4983.3555 4810.0145 4939.0237 5119.6759
"25" "Central.African.Republic" 1118.2024 980.35926 941.88987 962.20272 981.73687 991.42769 1021.0095 1089.2474 1218.5509 1152.7545 1070.6603 1061.0133 1061.6218 963.83344 1026.0822 1022.4673 1033.3096 989.71975 1011.2384 1019.8 1005.6079 975.65401 786.82974 765.97813 781.18388 811.04984 770.72528 799.86505 823.18571 925.4773 945.10209 954.74419 917.81374 887.74656
