"NUTS_ID" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15"
"12" "NL11" 28503.8050198661 29884.0400683351 31263.6663136254 32804.628541625 34690.6849280415 36944.8530819228 39335.6410238298 41496.3802812161 43294.6998177223 44502.8077519946 45677.7602318435 46832.1641647603 47758.1848211415 48162.841205022 48047.8427490539
"13" "DE71" 33738.906365828 34825.4903595226 35921.8493346846 37081.6798152581 38275.1824316374 39427.4890437755 40419.7023225636 41112.5266918887 41443.5142040276 41604.212640555 41955.2075104011 42456.4103000074 43010.8992941511 43624.7271296084 44302.2025560911
"14" "DE11" 29991.0484133814 30853.806272332 31701.9963851416 32608.442002096 33613.6469518584 34724.7643427568 35850.7637708217 36768.6525372423 37375.3157398768 37972.6540706242 39010.5177030034 40303.1321592336 41631.040129053 42934.2831567229 44259.9363658559
"15" "NL32" 33504.84486928 34555.7425247544 35653.8650011439 36773.5183154032 38024.3900843036 39344.4049941521 40587.5853177671 41552.8485289027 42073.0984504701 42244.7831407562 42408.6549059727 42658.3007498103 43005.922891004 43454.3954283192 43957.6447979607
"16" "DE50" 30537.5153999961 31861.2073587027 33194.8968534099 34538.7882427259 35877.9023887133 37159.0540345986 38252.5935414142 39003.4226246566 39376.0280331961 39606.3488959579 40174.1598565558 41014.2197352506 41985.4217752538 42960.3840621371 43958.0571974314
"17" "AT13" 35548.7155045625 36189.8948491314 36871.2797129704 37570.6924394883 38334.5506180189 39133.9610475778 39918.5024282976 40552.3196926983 41008.5973847724 41364.1488976807 41806.4120430204 42320.5608087598 42842.7432559837 43305.8177163758 43731.8036006619
"18" "DK01" 30519.4491319809 31182.6774909971 31906.7939888964 32755.4583660022 33807.2433244147 34939.8482276736 36029.8135074122 37011.3038788362 37845.7138959652 38604.6294922052 39480.3223776075 40360.3235434708 41247.3124006765 42118.3165931506 42990.7937807109
"19" "NL31" 34308.1449050703 34920.9078453292 35500.3676007768 36121.8757313493 36988.7249808583 38092.7079760999 39299.4213469325 40363.6284470388 41040.1852145921 41345.7670362395 41482.6196642936 41581.6661252684 41696.6102993911 41868.0894868458 42089.2833399143
"20" "AT32" 27713.8152373689 28560.6945170822 29501.3633588164 30555.9002018595 31728.1653480886 32949.0750670834 34161.0391727294 35218.6154681788 36046.5954889471 36806.7922956411 37765.5636706362 38868.1806290051 39985.4239985187 40993.1657063071 41945.6098397375
"21" "IE02" 28779.8898045782 30644.8008282864 32496.9294832622 34284.325268247 35971.5289646607 37429.5893110035 38438.1104114297 38803.9620803335 38519.9164662798 38122.1117849805 38095.4996175427 38441.4936594765 39034.2276674852 39789.1964127559 40648.4182396782
