"ID" "Y1970" "Y1971" "Y1972" "Y1973" "Y1974" "Y1975" "Y1976" "Y1977" "Y1978" "Y1979" "Y1980" "Y1981" "Y1982" "Y1983" "Y1984" "Y1985" "Y1986" "Y1987" "Y1988" "Y1989" "Y1990" "Y1991" "Y1992" "Y1993" "Y1994" "Y1995" "Y1996" "Y1997" "Y1998" "Y1999" "Y2000" "Y2001" "Y2002" "Y2003"
"11" "Belize" 3588.97433540344 3709.71023031054 3830.07521412914 3949.49116694494 4067.14346780833 4181.98647435236 4292.72487804053 4397.68274240046 4494.27836226468 4579.10567885973 4649.72279550646 4705.09579157858 4747.30899646105 4779.76784905987 4807.67263478989 4837.1600399433 4874.00989397533 4921.72712174135 4982.09845486179 5055.46232890272 5140.83824679307 5236.50275113948 5340.80326243166 5451.56801103142 5566.81422789453 5685.07759519915 5805.78922530373 5929.25859607871 6056.11352683127 6186.87998187838 6321.76692221997 6460.39187615124 6601.60407116185 6743.82304855108
"12" "Benin" 1166.66615218955 1161.99162086385 1157.15613490766 1151.86437838838 1146.02976178608 1139.7597933849 1133.42654181449 1127.45139472107 1122.37888889628 1118.49101339499 1115.73421829982 1113.9345869099 1112.93824247861 1112.53175429207 1112.64152028017 1113.11057648711 1113.84959565636 1114.96642884019 1116.72700260171 1119.42101343196 1123.35304106544 1128.72268845309 1135.63512194319 1144.15606266288 1154.32481118444 1166.13556392349 1179.5066480177 1194.26530769493 1210.21019781299 1227.12526796045 1244.79065248135 1262.97383404984 1281.45900245885 1300.0575806662
"13" "Bermuda" 21563.3347914276 22254.0342655561 22944.8695902061 23635.838442735 24325.831406525 25011.4251488511 25685.4771659722 26340.0423087752 26968.5667927318 27564.8420425419 28122.9081109236 28640.2624104885 29119.0095185711 29560.9534139794 29968.0279042253 30341.6069582855 30681.2445428763 30986.6210723181 31258.6003170743 31501.5469424274 31723.8443453673 31936.8176030276 32151.5330491789 32377.0056560838 32617.2931283821 32872.9258490736 33141.0583833369 33417.0528042279 33695.9416188444 33973.3865372734 34246.3042255548 34517.8967408855 34790.8292973983 35065.4736148739
"14" "Bhutan" 200.027274010005 215.643471321862 231.333929598694 247.222658102171 263.449689994967 280.169199644501 297.516608018202 315.59333478439 334.44354279134 354.042883625364 374.224504615796 394.772179907909 415.543860785435 436.437250507334 457.354508280605 478.229048860979 499.044405183484 519.732538535997 540.223005718434 560.617563784373 581.062588923095 601.776308939421 622.989802865864 644.924617112587 667.72624790759 691.424016786091 715.918993238538 741.032574363416 766.512761826112 792.223541681105 818.085988953309 844.074673188434 870.189356784808 896.396699357788
"15" "Bolivia" 2746.74488182822 2776.13835236101 2805.01194518923 2832.3563824774 2856.78477077708 2876.78923793364 2890.83968361548 2897.59519189619 2896.25621314032 2886.76263973267 2869.6400287752 2846.04195652053 2817.64381289933 2786.631753701 2755.43502618267 2726.21635521721 2700.83955036206 2680.7589820366 2666.7889612843 2659.30061944355 2658.30984444952 2663.57619718877 2674.66898543676 2691.04323897595 2711.97339287522 2736.633023106 2764.20061340755 2793.92254421136 2825.13070466538 2857.28606355706 2889.98411141217 2922.96540859759 2956.06852095168 2989.21340579129
"16" "Botswana" 1167.65799166985 1334.22812527445 1500.83938639987 1667.59331200376 1834.72168232775 2002.49682658348 2171.29441277675 2341.90327734692 2515.2719444514 2692.62180480423 2875.31948675832 3064.81536265458 3262.28231136702 3467.78197461301 3680.90556458149 3901.0353782749 4126.81197503421 4356.68703150468 4588.59141764402 4820.30089008117 5049.26217940093 5273.92642396294 5493.60793617831 5708.72078214825 5920.86204938353 6131.92990993954 6343.77878399822 6557.75366596665 6774.60560729192 6994.97401075622 7219.08167012347 7445.46183388074 7672.74116233978 7900.40332847762
"17" "Brazil" 4397.92499754538 4603.78755847567 4808.59468416209 5010.40666146461 5206.77198878275 5395.38527786239 5574.11636572747 5741.05137970724 5895.09888846666 6035.75433197142 6162.87136846602 6277.02855711505 6380.07081591192 6473.88371820728 6560.07811906198 6638.99155549134 6709.70080296306 6770.97267530608 6822.09753934195 6863.47569870394 6896.14939742698 6922.34373329925 6944.12849561532 6963.23641683655 6980.70348093525 6997.09195134164 7012.95379553361 7028.58602611067 7044.13816993352 7059.76328529757 7075.41483607342 7090.94111616839 7106.48587589964 7122.2360347939
"18" "Brunei" 34206.9221756585 34971.0470393412 35726.9956250847 36457.1473998516 37135.8843790416 37732.049642055 38210.6135998441 38528.9255317565 38649.1337656401 38545.1271930132 38206.0586259801 37657.0109311626 36945.3605586176 36114.3881810739 35203.182107364 34247.8368283675 33281.4274021957 32332.394689889 31422.1820264823 30566.6002827857 29776.5336170432 29057.0980442918 28409.3877080258 27832.995164129 27324.8352742148 26879.0020119865 26487.3890154619 26140.3066226288 25828.7404389362 25545.4798282766 25285.6067309453 25042.7670026668 24810.1722923382 24581.72126385
"19" "Burkina.Faso" 672.706751195377 679.765677106422 686.870919289479 694.042766848792 701.368431815384 708.929501053156 716.806719571467 725.042657127046 733.622207927694 742.535895963393 751.698294879305 760.959784530684 770.162681285588 779.232037850746 788.179553729673 796.986886256257 805.518780930064 813.611698010017 821.118748502715 828.021673894732 834.466005176384 840.718114803251 847.031797942973 853.72653545118 861.146174313646 869.578924302516 879.296446829152 890.459133344159 903.079757181069 917.054520515053 932.115778778332 947.978637026837 964.360930819554 980.973945747901
"20" "Burundi" 786.510392121596 798.729315290604 810.996794304309 823.378852744179 835.869622605923 848.469061078389 861.073174243912 873.458672582128 885.380757337065 896.716007096296 907.41268730405 917.455699111817 926.798216702824 935.432770087522 943.298810809603 950.200376112541 955.727246537783 959.4041284865 960.708100418514 959.066751997433 954.137827885818 945.620695366238 933.493581151544 918.123273216174 900.302321831686 880.8346275366 860.393892114852 839.576804206542 818.748416271478 798.072741533956 777.617235452589 757.513100057159 737.694603638814 717.99038276356
"21" "Cambodia" 979.486225523001 924.735183572184 870.252614057559 816.544212956388 764.32258658579 714.166637980492 666.527383183756 621.803930393895 580.43985285126 542.766806095217 509.093540033006 479.60452680663 454.357075133005 433.350987612035 416.536312005789 403.813715232307 395.041330504613 390.016826497652 388.440187785106 389.903372649415 394.021725728552 400.410191753871 408.669737217402 418.432901306793 429.400011916644 441.343779913293 454.134830783283 467.651655763376 481.794748188373 496.488895828669 511.633305559187 527.07780689028 542.6779121934 558.332269497776
"22" "Cameroon" 1765.51940791284 1842.66049015816 1920.25992088369 1998.90585109427 2079.1281497425 2161.31556215327 2245.68417777708 2332.01925740909 2419.51432189998 2506.67272995693 2591.11972723236 2669.7549130538 2738.92937068071 2794.82830158989 2834.51025333146 2856.23155470156 2859.418313363 2845.19777584183 2816.31331938071 2776.15447153267 2728.50662305232 2676.9706532654 2625.06563619006 2575.96249121125 2532.25202537347 2495.80030399318 2467.5214148234 2447.41092835719 2434.67107430054 2428.08823003853 2426.24524977051 2427.64398262073 2430.89998183901 2434.85063546861
"23" "Canada" 14658.6526549488 15058.6171602404 15457.3579763947 15852.9001313736 16242.8117281982 16625.2539170611 16998.6976413344 17361.4432945976 17712.3083638267 18050.8933052615 18377.782756732 18694.8543378051 19004.7627811559 19310.9360761148 19614.8065150597 19916.1341551779 20214.5022198692 20510.2686896452 20804.5200319683 21099.9597700762 21401.7649346273 21717.5928368543 22056.0257156535 22423.6840178292 22824.3063633965 23258.6690148258 23725.881241179 24223.4251964812 24746.4176191543 25288.6866671292 25843.3312517886 26404.4014028477 26968.3906568921 27533.1585745002
